,,Spend,Spend,Spend,Spend,Spend,Gross CPA,Gross CPA,Gross CPA,Gross CPA,Gross CPA,NET CPA,NET CPA,NET CPA,NET CPA,NET CPA
CATEGORY,SUB_CATEGORY,OCT25_CD_SPEND,NOV25_CD_SPEND,DEC25_CD_SPEND,JAN26_CD_SPEND,FEB26_CD_SPEND,OCT25_GrossCPA,NOV25_GrossCPA,DEC25_GrossCPA,JAN26_GrossCPA,FEB26_GrossCPA,OCT25_NET_CPA,NOV25_NET_CPA,DEC25_NET_CPA,JAN26_NET_CPA,FEB26_NET_CPA
Food Preparation and Serving Related Occupations,Miscellaneous Food Preparation and Serving Related Workers,4368,4780,3227,3950,1388,39,30.45,27.11,44.39,30.18,19.29,15.7,12.48,27.08,14.93
Food Preparation and Serving Related Occupations,Supervisors of Food Preparation and Serving Workers,32858,19592,26848,25996,26244,84.25,28.27,55.24,38.63,53.02,49.11,22.63,35.48,26.37,35.63
Food Preparation and Serving Related Occupations,Waiters and Waitresses,14489,25747,15681,3557,4060,8.64,8.84,6.5,5.91,7.99,2.01,2.44,2.05,2.06,2.83
Healthcare Practitioners and Technical Occupations,Audiologists,0,0,0,1,155,,,,,,,,,,
Healthcare Practitioners and Technical Occupations,Chiropractors,0,1,1,0,0,,,,,,,,,,
Healthcare Practitioners and Technical Occupations,Clinical Laboratory Technologists and Technicians,63,2217,47491,4096,4649,6.3,221.73,11.34,37.23,125.64,3.44,45.35,1.33,17.65,70.89
Healthcare Practitioners and Technical Occupations,Dentists,0,3,363,25,50,,,90.68,25.21,,,,41.93,21.94,
Healthcare Practitioners and Technical Occupations,Diagnostic Related Technologists and Technicians,9581,5938,12367,213077,61301,28.52,49.48,268.85,14.95,16.46,11.5,15.44,70.35,1.81,5.79
Healthcare Practitioners and Technical Occupations,Dietitians and Nutritionists,13,12916,144,73,767,,8.35,1.44,72.85,127.83,,1.06,1.34,22.27,65.07
Healthcare Practitioners and Technical Occupations,Emergency Medical Technicians and Paramedics,549,1393,2346,2755,3744,274.6,,,918.23,156.02,141.17,,,253.78,79.06
Healthcare Practitioners and Technical Occupations,Health Information Technologists and Medical Registrars,11,333,598,496,821,,,,496.41,410.3,,,,133.42,209.31
Healthcare Practitioners and Technical Occupations,Health Practitioner Support Technologists and Technicians,8851,11363,14472,19602,23857,18.91,33.13,32.59,39.6,38.17,9.56,13.7,13.18,16.47,21.26
Healthcare Practitioners and Technical Occupations,Licensed Practical and Licensed Vocational Nurses,30222,40700,43723,42554,35663,42.45,86.6,57.83,83.77,85.73,17.75,27.3,20.19,31.66,32.32
Healthcare Practitioners and Technical Occupations,Medical Records Specialists,255,541,1646,1862,2790,127.63,541.24,109.72,24.83,38.22,34.38,82.71,30.59,8.96,13.95
